商品编号	商品名称	品牌编号	品牌英文名称	品牌中文名称	商品性别	商品商城分类编号	商品商城分类名称
30014632	蕾丝短袖连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014631	前中定位印花连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014630	东欧特色印花伞裙	B0617	OASIS	奥时裳	0	A01B02C61D01	半身裙
30014629	东欧特色印花伞裙	B0617	OASIS	奥时裳	0	A01B02C61D01	半身裙
30014628	东欧特色印花伞裙	B0617	OASIS	奥时裳	0	A01B02C61D01	半身裙
30014627	东欧特色印花伞裙	B0617	OASIS	奥时裳	0	A01B02C61D01	半身裙
30014626	格型打褶灯笼袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014625	格型打褶灯笼袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014624	格型打褶灯笼袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014623	格型打褶灯笼袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014622	前胸拐花套头毛衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014621	前胸拐花套头毛衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014620	V领条纹套衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014619	前胸拐花套头毛衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014618	V领条纹套衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014617	印花吊带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014616	印花单肩连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014615	印花单肩连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014614	印花单肩连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014613	印花单肩连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014612	幻彩花图案连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014611	幻彩花图案连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014610	领口工字褶腰带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014609	领口工字褶腰带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014608	领口工字褶腰带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014607	条纹背心连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014606	条纹背心连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014605	条纹背心连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014604	双圈系腰带双排扣外套	B0617	OASIS	奥时裳	0	A01B02C86D01	运动&套装
30014603	前中荷叶边褶皱外套	B0617	OASIS	奥时裳	0	A01B02C86D01	运动&套装
